id,ubigeo,region,provincia,distrito,area_terreno_m2,area_ocupada_m2,area_disponible_m2,area_techada_m2,antiguedad_anios,tiene_planos,planos_actualizados,material_predom_paredes,estado_conserv_paredes,material_predom_pisos,estado_conserv_pisos,material_predom_techo,estado_conserv_techo,electricidad_7_dias,electricidad_con,agua_procedencia,agua_potable,agua_7_dias,banio_coneccion
0011,200115,PIURA,PIURA,VEINTISÉIS DE OCTUBRE,1600,700,900,650,48,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0012,200104,PIURA,PIURA,CASTILLA,1238,1238,0,220,20,Sí,Sí,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0013,200104,PIURA,PIURA,CASTILLA,1716,1716,0,731,47,No,NA,¿Ladrillo o bloque de cemento?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Malo,"¿Concreto armado (losa aligerada, losa maciza)?",Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0014,200104,PIURA,PIURA,CASTILLA,420,420,0,500,25,Sí,No,¿Ladrillo o bloque de cemento?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Malo,"¿Concreto armado (losa aligerada, losa maciza)?",Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0015,200104,PIURA,PIURA,CASTILLA,24,24,0,24,30,No sabe,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor compartido con alguna entidad pública o privada?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0016,200101,PIURA,PIURA,PIURA,4011,650,3361,552,12,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0017,200105,PIURA,PIURA,CATACAOS,280,180,100,216,27,Sí,Sí,¿Ladrillo o bloque de cemento?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,No,¿Letrina (pozo ciego o negro)?
0018,200105,PIURA,PIURA,CATACAOS,2421,1421,1000,1000,2,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Fibra de cemento o similar?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,No,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0019,200107,PIURA,PIURA,CURA MORI,180,180,0,217,56,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0020,200109,PIURA,PIURA,LA ARENA,262,262,0,300,11,Sí,Sí,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0021,200110,PIURA,PIURA,LA UNIÓN,501,501,0,316,32,Sí,No,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0022,200111,PIURA,PIURA,LAS LOMAS,681,242,439,350,52,No,NA,¿Adobe o tapial?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0023,200111,PIURA,PIURA,LAS LOMAS,8132,5639,2493,5639,8,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Letrina (pozo ciego o negro)?
0024,200114,PIURA,PIURA,TAMBO GRANDE,761,761,0,761,15,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0025,200114,PIURA,PIURA,TAMBO GRANDE,1355,175,1180,255,23,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0026,200201,PIURA,AYABACA,AYABACA,500,500,0,800,40,No,NA,¿Adobe o tapial?,Malo,¿Cemento?,Malo,¿Madera / entablillado?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0027,200204,PIURA,AYABACA,LAGUNAS,628,628,0,628,57,Sí,Sí,¿Adobe o tapial?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Malo,¿Fibra de cemento o similar?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Letrina (pozo ciego o negro)?
0028,200202,PIURA,AYABACA,FRÍAS,410,410,0,209,52,Sí,Sí,¿Adobe o tapial?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0029,200203,PIURA,AYABACA,JILILI,144,144,0,288,67,Sí,No,¿Adobe o tapial?,Muy malo,¿Cemento?,Bueno,¿Caña o estera con torta de barro?,Muy malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0030,200205,PIURA,AYABACA,MONTERO,138,138,0,276,65,No,NA,¿Adobe o tapial?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Madera / entablillado?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
